j,R_j,note
1,0.406193,min: max two-body suppression (quadruplet prefactor)
2,1.083181,
3,0.812385,
4,0.515800,
5,1.624771,
6,0.466601,
7,1.547401,
8,0.855143,
9,0.601767,
10,1.314259,
11,0.562421,
12,1.116004,
13,1.059110,
14,0.676988,
15,1.465959,
16,0.541590,
17,1.041520,
18,0.928440,
19,0.638354,
20,1.218578,
21,0.702061,
22,1.160551,
23,1.289292,
24,0.406193,
25,1.339205,
26,0.756507,
27,0.812385,
28,1.458128,
29,0.501358,
30,1.805301,
31,0.459243,
32,0.866544,
33,1.392661,
34,0.468684,
35,2.256626,max: super-resonance j=5*7
